bin,egs5_gy,egs5_err_pct,cc_gy,cc_err_pct,reldiff_pct,sigma
lat_10cm_x-6--5,7.122203328229123e-16,0.6197032434224201,7.183454966155226e-16,0.8230984787155958,-0.8526765771441339,0.8301521267650609
lat_10cm_x-5--4,1.3999358461987313e-15,0.4415997347495269,1.4100436778794788e-15,0.5493685013961871,-0.7168452892146129,1.0198790330840242
lat_10cm_x-4--3,1.5747587661274526e-15,0.4168137050626608,1.5801401259650369e-15,0.5213154463965131,-0.34056219123590004,0.5109135941470606
lat_10cm_x-3--2,1.683477894863167e-15,0.4033999020721718,1.6952265246456253e-15,0.5053830877765683,-0.6930418803418765,1.0746504606534613
lat_10cm_x-2--1,1.738673760221299e-15,0.3967130942298486,1.7498144153200595e-15,0.497104985285337,-0.636676381290573,1.0035462951795204
lat_10cm_x-1-0,1.781721253299651e-15,0.39219439890403573,1.781280926689406e-15,0.4941661833958342,0.0247196612082598,0.03917873390439759
lat_10cm_x0-1,1.7757110902020782e-15,0.3926398478484253,1.7854511932641507e-15,0.4928106798688987,-0.5455261448096875,0.8676092306222924
lat_10cm_x1-2,1.7436275431206298e-15,0.3956107860011474,1.7400816992858897e-15,0.4974175091757096,0.20377456048156778,0.32037072350777035
lat_10cm_x2-3,1.6849664305970532e-15,0.40316416917998527,1.6890673574517834e-15,0.5043709078715078,-0.24279238105205195,0.37636890488778046
lat_10cm_x3-4,1.5695248824179823e-15,0.41735672037528043,1.5867534303238157e-15,0.5216599691230392,-1.085773477881657,1.6321355276998806
lat_10cm_x4-5,1.423016152954256e-15,0.4396124017928948,1.394559299553777e-15,0.5531400106063191,2.0405624493404124,2.865261827277835
lat_10cm_x5-6,7.196037901781989e-16,0.617900066838601,7.17460879733515e-16,0.8208892249055086,0.2986797615334549,0.2903852209917234
lat_10cm_x6-7,5.326909189958123e-16,0.7155721548501858,5.364157288447289e-16,0.95812721230536,-0.6943886334091383,0.5821106208193495
lat_10cm_x7-8,4.1107034694505605e-16,0.8156148216792269,4.089192692938633e-16,1.1069837381884167,0.5260396886914364,0.38186475642342
